season,match_id,team1,team2,winner,top_scorer,top_scorer_runs
2016,1,Mumbai Indians,Rising Pune Supergiants,Rising Pune Supergiants,Ajinkya Rahane,66
2016,2,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,Andre Russell,41
2016,3,Gujarat Lions,Kings XI Punjab,Gujarat Lions,Aaron Finch,74
2016,4,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,AB de Villiers,82
2017,5,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,Yuvraj Singh,62
2017,6,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Rohit Sharma,65
2017,7,Rising Pune Supergiant,Gujarat Lions,Rising Pune Supergiant,Steven Smith,84
2018,8,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Dwayne Bravo,68
2018,9,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,KL Rahul,51
2018,10,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,Nitish Rana,59

